title,avg_price_eur,format,avg_shipping_eur,free_shipping_pct,total_sold,total_sales_eur,last_sold,bids,removed,source_file
ROLEX Winkelhebel Damen Kaliber caliber 2230 2235 part 220 setting lever,65.1,Festpreis,10.91,0,3,195.28,7. Aug 2025,-,FALSE,terapeak_rolex_caliber_p1.html
Rolex 3135-600 Seating for Date Indicator Movement Caliber 3135 Genuine  (R325),79.64,Festpreis,11.24,0,2,159.28,17. Nov 2023,-,FALSE,terapeak_rolex_caliber_p1.html
1 x Original Rolex Caliber 1210 1220 7631 balance staff  (R166),40.56,Festpreis,10.63,0,2,81.11,24. Feb 2026,-,FALSE,terapeak_rolex_caliber_p1.html
ROLEX Daytona Friktion Chrono Zentrumrad chronograph wheel caliber 4130 part 822,51.71,Festpreis,25.96,0,2,103.41,4. Sep 2025,-,FALSE,terapeak_rolex_caliber_p1.html
Rolex Genuine 1600 Caliber Mainspring - Part 1600-1803-307      (RO-34),41.04,Festpreis,10.94,0,1,41.04,1. Okt 2023,-,FALSE,terapeak_rolex_caliber_p1.html
Genuine Rolex Champagne Beige Date Wheel Disc Calendar Caliber 2035 4520-1,80.89,Festpreis,25.28,0,1,80.89,28. Apr 2026,-,FALSE,terapeak_rolex_caliber_p1.html
Genuine Rolex Gold Day Wheel Disc Calendar Watch Caliber 3155 18238 Day-Date,251.75,Festpreis,18.31,0,1,251.75,5. Mrz 2025,-,FALSE,terapeak_rolex_caliber_p1.html
Genuine Rolex Golden Day Wheel Disc Calendar Watch Caliber 3055 18038 Day-Date,144.61,Festpreis,28.92,0,1,144.61,20. Jul 2023,-,FALSE,terapeak_rolex_caliber_p1.html
Genuine Rolex Day-Date Gold Day Wheel Disc GERMAN Calendar Caliber 3155 18238,251.75,Festpreis,20.14,0,1,251.75,5. Mrz 2025,-,FALSE,terapeak_rolex_caliber_p1.html
Genuine Rolex Balance Complete B5019-G1 5019 Movement Caliber 3030 3035 New,397.87,Festpreis,28.09,0,1,397.87,7. Jun 2024,-,FALSE,terapeak_rolex_caliber_p1.html
Genuine Rolex Champagne Mid-Size Date Wheel Disc Calendar Caliber 2135-6800-1,189.84,Festpreis,23.73,0,1,189.84,12. Sep 2024,-,FALSE,terapeak_rolex_caliber_p1.html
Rolex Green Numerals Date Disc Wheel Calendar Caliber 3135 3175 3185 3186 GMT,236.05,Festpreis,28.33,0,1,236.05,12. Mrz 2024,-,FALSE,terapeak_rolex_caliber_p1.html
1 x Original Rolex Caliber 1555 1556  126 case clamp  (Z758),14.03,Festpreis,4.68,0,2,28.05,26. Jul 2024,-,FALSE,terapeak_rolex_caliber_p1.html
1 x Original Rolex Caliber 1210  131 case clamp  (R165),13.93,Festpreis,4.64,0,2,27.86,24. Okt 2024,-,FALSE,terapeak_rolex_caliber_p1.html
NEW GENUINE ROLEX CALIBER 1530 1560 1570 1580. 310  BARREL COMPLETE (O108),84.05,Festpreis,13.08,0,1,84.05,25. Aug 2023,-,FALSE,terapeak_rolex_caliber_p1.html
1 x Original Rolex Caliber 3135 550 Pinion For Oscillating Weight Genuin (R165D),28.04,Festpreis,4.68,0,4,112.17,21. Mrz 2025,-,FALSE,terapeak_rolex_caliber_p1.html
#889 ORIGINAL ROLEX BREGUET SPIRALE 1530 CALIBER BALANCE HAIRSPRING FOR REPAIR,93.3,Festpreis,0,100,1,93.3,16. Aug 2023,-,FALSE,terapeak_rolex_caliber_p1.html
#889 NOS ORIGINAL ROLEX BREGUET SPIRALE 1530 CALIBER BALANCE HAIRSPRING,187.55,Festpreis,61.26,0,1,187.55,16. Aug 2023,-,FALSE,terapeak_rolex_caliber_p1.html
#889 VINTAGE ORIGINAL ROLEX BALANCE WHEEL UNRUH 1530 CALIBER FOR REPAIR,70.69,Festpreis,0,100,2,141.37,16. Aug 2023,-,FALSE,terapeak_rolex_caliber_p1.html
#889 VINTAGE ORIGINAL ROLEX BALANCE WHEEL UNRUH 1530 CALIBER BROKEN PINION,278.86,Festpreis,58.66,0,1,278.86,4. Okt 2023,-,FALSE,terapeak_rolex_caliber_p1.html
ROLEX Ersatzteil Hemmungsrad Ankerrad cal 2130 2135 part 410 escape wheel,53.16,Festpreis,10.62,0,17,903.69,2. Dez 2025,-,FALSE,terapeak_rolex_ersatzteil_p1.html
Federstege Armband Ersatzteil Armbanduhr passend für ROLEX spezial 90 Stück,32.86,Festpreis,7.85,82,11,361.41,15. Nov 2025,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Hemmungsrad Ankerrad cal 1530 1570 1575 7842 8051 escape wheel,54.7,Festpreis,11.28,0,8,437.55,18. Jun 2025,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Datumraste cal 3035 5035 movement part 5095 date jumper,51.04,Festpreis,11.85,0,8,408.38,23. Jan 2026,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Umkehrrad Ersatzteil cal 2230 2235 part 540 2 Stück reversing wheels,106.65,Festpreis,13.1,0,6,639.86,12. Feb 2026,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Winkelhebel Uhrwerk cal 2135 part 220 setting lever original,45.22,Festpreis,13.82,0,5,226.09,25. Aug 2025,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Winkelhebel setting lever cal 3035 3055 3075 movement part 5036,47.68,Festpreis,13.17,0,4,190.71,28. Jan 2026,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Steinfutter Schwungmasse cal 3035 95063 upper jewel for rotor,33.43,Festpreis,9.96,0,4,133.69,22. Jan 2026,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Hemmungsrad Ankerrad cal 2030 2035 part 4429 escape wheel,62.03,Festpreis,6.69,0,4,248.1,12. Nov 2025,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Stundenrad cal 2135 movement part 280 Hour wheel original,41.36,Festpreis,9.87,0,4,165.45,2. Feb 2026,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Stundenrad Uhrwerk cal 3035 part 5046 Hour wheel original,40.47,Festpreis,9.89,0,4,161.84,17. Feb 2026,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Korrektorrad cal 3185 GMT part 662 Corrector Wheel original,85.21,Festpreis,18.12,0,3,255.65,16. Jul 2024,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Tagesperre Raste Day Jumper cal 1555 1556 8013 movement part,70.49,Festpreis,11.26,0,3,211.48,6. Feb 2026,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Kronrad cal 3035 3055 3075 3085 part 5028 Crown Wheel original,52.59,Festpreis,9.33,0,3,157.75,28. Mai 2024,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Wippe für Nocken cal 3035 3055 3085 part 5090 yoke for cam,56.73,Festpreis,6.73,0,3,170.19,20. Mrz 2026,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Minutentrieb Minutenrohr cal 3035 5011 Minute pinion cannon,42.27,Festpreis,25.04,0,4,169.05,1. Sep 2025,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Unruh Scheibe Plateau cal 1210 part 7545 balance wheel roller,58.77,Festpreis,23.86,0,3,176.31,7. Mrz 2026,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX 3135-540 REVERSE WHEEL WECHSELRAD PART TEIL ERSATZTEIL SPARE REPAIR OYSTER,24.03,Festpreis,46.89,33,6,144.17,22. Mrz 2026,-,FALSE,terapeak_rolex_ersatzteil_p1.html
Rolex 4130 Original Ersatzteile Zubehör Original Teile Von Ersatzteile Daytona,39.42,Festpreis,9.36,33,3,118.26,11. Okt 2024,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX 3135-540 REVERSE SET WHEEL WECHSELRAD TEIL ERSATZTEIL SPARE REPAIR OYSTER,41.09,Festpreis,13.08,0,5,205.44,14. Jan 2025,-,FALSE,terapeak_rolex_ersatzteil_p1.html
Rolex 3135 Teile Von Ersatzteile Original 3155 3156 3175 3185 3186 Ersatzteile,49.02,Festpreis,9.47,33,5,245.08,17. Jul 2025,-,FALSE,terapeak_rolex_ersatzteil_p1.html
Original ROLEX Unruhe vintage Balance 3135 3130 5019 Ersatzteil,389.44,Festpreis,16.92,0,2,778.87,18. Jan 2026,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteile Räder Set cal 2130 2135 parts 330 340 360 Movement Wheels,118,Festpreis,10.71,0,2,236,2. Dez 2025,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Umstelltrieb cal 3035 3055 3075 3085 part 5032 Wig-Wag Pinion,41.11,Festpreis,12.27,0,2,82.21,17. Feb 2025,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Sekundenrad cal 3035 3075 3055 - 5014 SECOND WHEEL original,42.07,Festpreis,24.67,0,2,84.13,31. Aug 2024,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Sperrad für Uhrwerk cal 3035 part 5033 ratchet wheel original,41.11,Festpreis,6.47,0,2,82.21,5. Nov 2023,-,FALSE,terapeak_rolex_ersatzteil_p1.html
ROLEX Ersatzteil Datumrad montiert cal 3035 5035 part 5094 date wheel original,68.15,Festpreis,6.56,0,2,136.31,24. Sep 2024,-,FALSE,terapeak_rolex_ersatzteil_p1.html
