collected_at_utc,keyword,source_country,source_marketplace_id,item_id,legacy_item_id,title,price_value,price_currency,condition,condition_id,buying_options,item_web_url,image_url,seller_username,seller_feedback_score,seller_feedback_percentage,shipping_cost_value,shipping_cost_currency,item_location_country,item_location_city,category_ids,category_names,listing_marketplace_id,item_creation_date
2026-07-01T06:49:33+00:00,vintage watch spare parts,US,EBAY_US,v1|307034583528|0,307034583528,Antique Ulysse Mardin Mechanical Pocket Watch Movement - Spares Parts,,,Used,3000,AUCTION,https://www.ebay.com/itm/307034583528?_skw=vintage+watch+spare+parts&hash=item477caff1e8:g:4YEAAeSwa4hqQ78w,https://i.ebayimg.com/images/g/4YEAAeSwa4hqQ78w/s-l225.jpg,sonderandfound,41353,99.9,23.94,USD,GB,EXETER,57720 > 281 > 173696 > 260324 > 260327,"Movements > Jewellery & Watches > Parts, Tools & Guides > Watches, Parts & Accessories > Parts",EBAY_GB,2026-06-30T19:34:00.000Z
2026-07-01T06:49:33+00:00,vintage watch spare parts,US,EBAY_US,v1|236908041094|0,236908041094,Vintage Joblot of 30 Watches Untested Spares Repairs/parts/repairs,120.00,USD,Pre-owned,3000,FIXED_PRICE,https://www.ebay.com/itm/236908041094?_skw=vintage+watch+spare+parts&hash=item3728d1d386:g:PpQAAeSwsUZqQ-Ou,https://i.ebayimg.com/images/g/PpQAAeSwsUZqQ-Ou/s-l225.jpg,mamon_2513,545,98.7,0.00,USD,US,Fort Lauderdale,51020 > 281 > 260324,"Watches Mixed Lots > Jewelry & Watches > Watches, Parts & Accessories",EBAY_US,2026-06-30T15:50:24.000Z
2026-07-01T06:49:33+00:00,vintage watch spare parts,US,EBAY_US,v1|336664250209|0,336664250209,Vintage Small Mechanical Watch Movement For Spare Parts (Ref-206),24.40,USD,Pre-owned,3000,FIXED_PRICE,https://www.ebay.com/itm/336664250209?_skw=vintage+watch+spare+parts&hash=item4e62c0c761:g:LGMAAOSwUgVne5~9,https://i.ebayimg.com/images/g/LGMAAOSwUgVne5~9/s-l225.jpg,fournitures-horlogerie,37192,99.9,22.75,USD,FR,Ploërmel,10324 > 281 > 173696 > 260324 > 260327,"Other Watch Parts > Jewelry & Watches > Parts, Tools & Guides > Watches, Parts & Accessories > Parts",EBAY_US,2026-06-30T13:04:29.000Z
2026-07-01T06:49:33+00:00,vintage watch spare parts,US,EBAY_US,v1|327239762941|0,327239762941,Vintage Small Mechanical Watch Movement For Spare Parts (Ref-85),24.40,USD,Pre-owned,3000,FIXED_PRICE,https://www.ebay.com/itm/327239762941?_skw=vintage+watch+spare+parts&hash=item4c310283fd:g:YMMAAOSwGfRneXMl,https://i.ebayimg.com/images/g/YMMAAOSwGfRneXMl/s-l225.jpg,fournitures-horlogerie,37192,99.9,22.75,USD,FR,Ploërmel,10324 > 281 > 173696 > 260324 > 260327,"Other Watch Parts > Jewelry & Watches > Parts, Tools & Guides > Watches, Parts & Accessories > Parts",EBAY_US,2026-06-30T12:48:52.000Z
2026-07-01T06:49:33+00:00,vintage watch spare parts,US,EBAY_US,v1|327239762367|0,327239762367,Vintage Small Mechanical Watch Movement For Spare Parts (Ref-119),24.40,USD,Pre-owned,3000,FIXED_PRICE,https://www.ebay.com/itm/327239762367?_skw=vintage+watch+spare+parts&hash=item4c310281bf:g:U3gAAOSwtxVne3vU,https://i.ebayimg.com/images/g/U3gAAOSwtxVne3vU/s-l225.jpg,fournitures-horlogerie,37192,99.9,22.75,USD,FR,Ploërmel,10324 > 281 > 173696 > 260324 > 260327,"Other Watch Parts > Jewelry & Watches > Parts, Tools & Guides > Watches, Parts & Accessories > Parts",EBAY_US,2026-06-30T12:48:46.000Z
2026-07-01T06:49:33+00:00,vintage watch spare parts,US,EBAY_US,v1|327239760317|0,327239760317,Vintage Small Mechanical Watch Movement For Spare Parts (Ref-46),24.40,USD,Pre-owned,3000,FIXED_PRICE,https://www.ebay.com/itm/327239760317?_skw=vintage+watch+spare+parts&hash=item4c310279bd:g:z-EAAOSwKBpneKNO,https://i.ebayimg.com/images/g/z-EAAOSwKBpneKNO/s-l225.jpg,fournitures-horlogerie,37192,99.9,22.75,USD,FR,Ploërmel,10324 > 281 > 173696 > 260324 > 260327,"Other Watch Parts > Jewelry & Watches > Parts, Tools & Guides > Watches, Parts & Accessories > Parts",EBAY_US,2026-06-30T12:48:25.000Z
2026-07-01T06:49:33+00:00,vintage watch spare parts,US,EBAY_US,v1|336664230012|0,336664230012,Vintage Small Mechanical Watch Movement For Spare Parts (Ref-103),24.40,USD,Pre-owned,3000,FIXED_PRICE,https://www.ebay.com/itm/336664230012?_skw=vintage+watch+spare+parts&hash=item4e62c0787c:g:kWoAAOSwoR5ne3ty,https://i.ebayimg.com/images/g/kWoAAOSwoR5ne3ty/s-l225.jpg,fournitures-horlogerie,37192,99.9,22.75,USD,FR,Ploërmel,10324 > 281 > 173696 > 260324 > 260327,"Other Watch Parts > Jewelry & Watches > Parts, Tools & Guides > Watches, Parts & Accessories > Parts",EBAY_US,2026-06-30T12:48:24.000Z
2026-07-01T06:49:33+00:00,vintage watch spare parts,US,EBAY_US,v1|336664229801|0,336664229801,Vintage Small Mechanical Watch Movement For Spare Parts (Ref-65),24.40,USD,Pre-owned,3000,FIXED_PRICE,https://www.ebay.com/itm/336664229801?_skw=vintage+watch+spare+parts&hash=item4e62c077a9:g:deoAAOSwiBpneW3H,https://i.ebayimg.com/images/g/deoAAOSwiBpneW3H/s-l225.jpg,fournitures-horlogerie,37192,99.9,22.75,USD,FR,Ploërmel,10324 > 281 > 173696 > 260324 > 260327,"Other Watch Parts > Jewelry & Watches > Parts, Tools & Guides > Watches, Parts & Accessories > Parts",EBAY_US,2026-06-30T12:48:21.000Z
2026-07-01T06:49:33+00:00,vintage watch spare parts,US,EBAY_US,v1|336664229662|0,336664229662,Vintage Small Mechanical Watch Movement For Spare Parts (Ref-125),24.40,USD,Pre-owned,3000,FIXED_PRICE,https://www.ebay.com/itm/336664229662?_skw=vintage+watch+spare+parts&hash=item4e62c0771e:g:GMIAAOSw935ne37x,https://i.ebayimg.com/images/g/GMIAAOSw935ne37x/s-l225.jpg,fournitures-horlogerie,37192,99.9,22.75,USD,FR,Ploërmel,10324 > 281 > 173696 > 260324 > 260327,"Other Watch Parts > Jewelry & Watches > Parts, Tools & Guides > Watches, Parts & Accessories > Parts",EBAY_US,2026-06-30T12:48:18.000Z
2026-07-01T06:49:33+00:00,vintage watch spare parts,US,EBAY_US,v1|227409914042|0,227409914042,Vintage Small Mechanical Watch Movement For Spare Parts (Ref-145),24.40,USD,Pre-owned,3000,FIXED_PRICE,https://www.ebay.com/itm/227409914042?_skw=vintage+watch+spare+parts&hash=item34f2afe8ba:g:~eAAAOSwtIZne4Us,https://i.ebayimg.com/images/g/~eAAAOSwtIZne4Us/s-l225.jpg,fournitures-horlogerie,37192,99.9,22.75,USD,FR,Ploërmel,10324 > 281 > 173696 > 260324 > 260327,"Other Watch Parts > Jewelry & Watches > Parts, Tools & Guides > Watches, Parts & Accessories > Parts",EBAY_US,2026-06-30T12:48:16.000Z
