collection_batch_id,inventory_uid,canonical_inventory_id,query_text,query_tier,query_template_version,marketplace_id,fetched_at,item_id,title,price_value,price_currency,condition,condition_id,buying_options,item_web_url,image_url,seller_username,seller_feedback_score,seller_feedback_percentage,shipping_cost_value,shipping_cost_currency,item_location_country,item_location_city,item_creation_date
batch_20260723_095422,iuid_c9b364d0e9cb40dd,rolex_1530_7905,Rolex 1530 7905,1,v1,EBAY_DE,2026-07-30T19:58:53+00:00,v1|306752563424|0,Rolex Original Neu Original 1530 1520 7905 Schrauben 5er Pack Versiegelt 50£,73.27,EUR,Neu mit Etikett,1000,FIXED_PRICE,https://www.ebay.de/itm/306752563424?_skw=Rolex+1530+7905&hash=item476be0a8e0:g:FNIAAeSwP2JpEJ3Q,https://i.ebayimg.com/images/g/FNIAAeSwP2JpEJ3Q/s-l225.jpg,369watchpartsltd,679,100.0,41.22,EUR,GB,,2026-02-06T20:31:35.000Z
batch_20260723_095422,iuid_c9b364d0e9cb40dd,rolex_1530_7905,Rolex 1530 7905,1,v1,EBAY_DE,2026-07-30T19:58:53+00:00,v1|227184700202|0,Schraube niedrige Brücke der Automatik Neu Blister NOS für Rolex (Code 1530 7905) X1,31.90,EUR,Nuovo con etichette,1000,FIXED_PRICE|BEST_OFFER,https://www.ebay.de/itm/227184700202?_skw=Rolex+1530+7905&hash=item34e5436b2a:g:Su0AAeSwvw1qaxFv,https://i.ebayimg.com/images/g/Su0AAeSwvw1qaxFv/s-l225.jpg,*rarecollections,1407,100.0,29.00,EUR,IT,,2026-01-22T15:39:00.000Z
batch_20260723_095422,iuid_c9b364d0e9cb40dd,rolex_1530_7905,Rolex 1530 7905,1,v1,EBAY_DE,2026-07-30T19:58:53+00:00,v1|127387825157|0,Rolex 1520-1530-7905 Brückenschrauben Inf. automatik - 5 Stück,90.00,EUR,Nuovo senza scatola o documenti,1500,FIXED_PRICE,https://www.ebay.de/itm/127387825157?_skw=Rolex+1530+7905&hash=item1da8e7f405:g:5bUAAeSwXJVo0YiT,https://i.ebayimg.com/images/g/5bUAAeSwXJVo0YiT/s-l225.jpg,borr_8855,138,100.0,20.00,EUR,IT,Spilimbergo,2025-09-23T17:36:20.000Z
batch_20260723_095422,iuid_c9b364d0e9cb40dd,rolex_1530_7905,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:58:56+00:00,v1|407101968806|0,Rolex Original CAL 1530 7876 Original Uhrenteil Eckiges Loch Gebraucht,159.76,EUR,Neu mit Etikett,1000,FIXED_PRICE,https://www.ebay.de/itm/407101968806?_skw=Rolex+1530&hash=item5ec92b11a6:g:En8AAeSwYaxqZ4AY,https://i.ebayimg.com/images/g/En8AAeSwYaxqZ4AY/s-l225.jpg,hyottoko_dance,293,100.0,0.00,EUR,JP,,2026-07-27T15:56:15.000Z
batch_20260723_095422,iuid_c9b364d0e9cb40dd,rolex_1530_7905,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:58:56+00:00,v1|117324498646|0,"ROLEX 1530 Axle for Oscillating Weight Cod. 1530-7906 Calib: 1520, 1525, 1530...",30.00,EUR,Gebraucht,3000,FIXED_PRICE,https://www.ebay.de/itm/117324498646?_skw=Rolex+1530&hash=item1b5115c6d6:g:AVIAAeSwdbtqZyWm,https://i.ebayimg.com/images/g/AVIAAeSwdbtqZyWm/s-l225.jpg,fornitura_boccacci,4295,99.9,19.00,EUR,IT,Sant Angelo Romano,2026-07-27T09:30:18.000Z
batch_20260723_095422,iuid_c9b364d0e9cb40dd,rolex_1530_7905,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:58:56+00:00,v1|407101259218|0,"ROLEX 1530 Bolzen oder Achse der oszillierenden Masse Cod. 1530-7906 Kaliber: 1520, 15...",30.00,EUR,Usato,3000,FIXED_PRICE,https://www.ebay.de/itm/407101259218?_skw=Rolex+1530&hash=item5ec9203dd2:g:Hp4AAeSwSwhqZyZR,https://i.ebayimg.com/images/g/Hp4AAeSwSwhqZyZR/s-l225.jpg,fornitura_boccacci,4295,99.9,19.00,EUR,IT,Sant Angelo Romano,2026-07-27T09:30:09.000Z
batch_20260723_095422,iuid_c9b364d0e9cb40dd,rolex_1530_7905,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:58:56+00:00,v1|147449474752|0,Rolex 1570-310 KOMPLETTES FASS - KAL. 1520/ 1525/ 1530/ 1535/ 1555/ 1565/1570,56.00,EUR,Usato,3000,FIXED_PRICE|BEST_OFFER,https://www.ebay.de/itm/147449474752?_skw=Rolex+1530&hash=item2254ac6ec0:g:~4MAAeSw4oNqXi-c,https://i.ebayimg.com/images/g/~4MAAeSw4oNqXi-c/s-l225.jpg,aderaldo_time,2,75.0,19.00,EUR,IT,Savona,2026-07-27T07:30:01.000Z
batch_20260723_095422,iuid_c9b364d0e9cb40dd,rolex_1530_7905,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:58:56+00:00,v1|800422889335|0,Rolex Unruhe  für 1530 - 1570,,,Gebraucht - Gut,3000,AUCTION|BEST_OFFER,https://www.ebay.de/itm/800422889335?_skw=Rolex+1530&hash=itemba5cec0777:g:htoAAeSw3jFqX6HO,https://i.ebayimg.com/images/g/htoAAeSw3jFqX6HO/s-l225.jpg,jens023,2035,100.0,8.00,EUR,DE,Erfurt,2026-07-28T16:48:18.000Z
batch_20260723_095422,iuid_c9b364d0e9cb40dd,rolex_1530_7905,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:58:56+00:00,v1|800422856479|0,Rolex rotor für 1530-1570,,,Gebraucht - Gut,3000,AUCTION|BEST_OFFER,https://www.ebay.de/itm/800422856479?_skw=Rolex+1530&hash=itemba5ceb871f:g:SUEAAeSwws5qX55s,https://i.ebayimg.com/images/g/SUEAAeSwws5qX55s/s-l225.jpg,jens023,2035,100.0,8.00,EUR,DE,Erfurt,2026-07-29T16:33:59.000Z
batch_20260723_095422,iuid_c9b364d0e9cb40dd,rolex_1530_7905,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:58:56+00:00,v1|407082041541|0,Rolex Unruh 1530-7855 - Gebraucht Top Zustand ,450.00,EUR,Usato,3000,FIXED_PRICE,https://www.ebay.de/itm/407082041541?_skw=Rolex+1530&hash=item5ec7fb00c5:g:6DAAAeSwms5qW5Rk,https://i.ebayimg.com/images/g/6DAAAeSwms5qW5Rk/s-l225.jpg,lang_295210,5,100.0,20.00,EUR,IT,Pinzano al Tagliamento,2026-07-19T15:01:25.000Z
