collection_batch_id,inventory_uid,canonical_inventory_id,query_text,query_tier,query_template_version,marketplace_id,fetched_at,item_id,title,price_value,price_currency,condition,condition_id,buying_options,item_web_url,image_url,seller_username,seller_feedback_score,seller_feedback_percentage,shipping_cost_value,shipping_cost_currency,item_location_country,item_location_city,item_creation_date
batch_20260723_095422,iuid_7a7ae300906c4b86,rolex_3055_5127,Rolex 3055 5127,1,v1,EBAY_US,2026-07-30T19:44:12+00:00,v1|158077465310|0,ROLEX 3055 5127 Calendar Wheel NOS Unopened Package 1 Per Purchase,65.00,USD,New with tags,1000,FIXED_PRICE,https://www.ebay.com/itm/158077465310?_skw=Rolex+3055+5127&hash=item24ce26b2de:g:R3YAAeSwhINqU-cN,https://i.ebayimg.com/images/g/R3YAAeSwhINqU-cN/s-l225.jpg,boostaholic247,2325,100.0,0.00,USD,US,Franconia,2026-07-12T19:13:48.000Z
batch_20260723_095422,iuid_7a7ae300906c4b86,rolex_3055_5127,Rolex 3055 5127,1,v1,EBAY_US,2026-07-30T19:44:12+00:00,v1|178129005565|0,Rolex Original Cal 3055 Calendar Wheel Date Disc 5127 Swiss Made NOS,90.00,USD,New without tags,1500,FIXED_PRICE,https://www.ebay.com/itm/178129005565?_skw=Rolex+3055+5127&hash=item297950ebfd:g:F7cAAeSwOhNqA3xr,https://i.ebayimg.com/images/g/F7cAAeSwOhNqA3xr/s-l225.jpg,oc_watch_collection,6378,99.7,0.00,USD,US,Garden Grove,2026-05-12T19:16:04.000Z
batch_20260723_095422,iuid_7a7ae300906c4b86,rolex_3055_5127,Rolex 3055 5127,1,v1,EBAY_US,2026-07-30T19:44:12+00:00,v1|177976928192|0,genuine Rolex watch 3055 part calendar wheel finger cam set: 5126 + 5127 + 5132,300.00,USD,Pre-owned,3000,FIXED_PRICE,https://www.ebay.com/itm/177976928192?_skw=Rolex+3055+5127&hash=item29704067c0:g:LiYAAeSwHPBpvWbP,https://i.ebayimg.com/images/g/LiYAAeSwHPBpvWbP/s-l225.jpg,francis.antictac,36152,100.0,24.00,USD,US,Miami,2026-03-20T15:29:30.000Z
batch_20260723_095422,iuid_7a7ae300906c4b86,rolex_3055_5127,Rolex 3055 5127,1,v1,EBAY_US,2026-07-30T19:44:12+00:00,v1|306358287820|0,ROLEX-CALENDAR WHEEL-FACTORY SEALED-CAL 3055 PART 5127,105.00,USD,New without tags,1500,FIXED_PRICE,https://www.ebay.com/itm/306358287820?_skw=Rolex+3055+5127&hash=item4754607dcc:g:JyQAAOSw0oVoUwd0,https://i.ebayimg.com/images/g/JyQAAOSw0oVoUwd0/s-l225.jpg,brokenchrono,1814,99.7,0.00,USD,US,Miami,2025-06-18T18:37:43.000Z
batch_20260723_095422,iuid_7a7ae300906c4b86,rolex_3055_5127,Rolex 3055 5127,1,v1,EBAY_US,2026-07-30T19:44:12+00:00,v1|286283970485|0,Calendar Wheel For Rolex 3055 (5127) Repairs Parts Quality Watchmakers,51.88,USD,New with tags,1000,FIXED_PRICE,https://www.ebay.com/itm/286283970485?_skw=Rolex+3055+5127&hash=item42a7dab7b5:g:DIwAAeSw8P5p63-8,https://i.ebayimg.com/images/g/DIwAAeSw8P5p63-8/s-l225.jpg,watchyard,12622,99.6,30.75,USD,GB,GRAVESEND,2025-01-25T14:14:39.000Z
batch_20260723_095422,iuid_7a7ae300906c4b86,rolex_3055_5127,Rolex 3055 5127,1,v1,EBAY_US,2026-07-30T19:44:12+00:00,v1|186726032687|694774816166,"High Quality Parts to Fit Rolex Caliber 3055 Movement, NEW",22.99,USD,New with tags,1000,FIXED_PRICE,https://www.ebay.com/itm/186726032687?_skw=Rolex+3055+5127&hash=item2b79bd252f:g:Kp4AAOSw46hnCXKJ,https://i.ebayimg.com/images/g/Kp4AAOSw46hnCXKJ/s-l225.jpg,watchpartsking1,10278,99.7,0.00,USD,US,Los Angeles,2024-10-11T20:46:39.000Z
batch_20260723_095422,iuid_7a7ae300906c4b86,rolex_3055_5127,Rolex 3055 5127,1,v1,EBAY_US,2026-07-30T19:44:12+00:00,v1|296695600563|0,"Rolex 3055, 5055 Part 5127 Calendar Wheel - New Sealed Package",86.95,USD,New with tags,1000,FIXED_PRICE,https://www.ebay.com/itm/296695600563?_skw=Rolex+3055+5127&hash=item45146f95b3:g:B1AAAOSw4l5m594P,https://i.ebayimg.com/images/g/B1AAAOSw4l5m594P/s-l225.jpg,ajhorological,3658,99.8,17.39,USD,AU,Scoresby,2024-09-16T07:28:37.000Z
batch_20260723_095422,iuid_7a7ae300906c4b86,rolex_3055_5127,Rolex 3055 5127,1,v1,EBAY_US,2026-07-30T19:44:12+00:00,v1|186577318449|0,"Rolex Caliber 3055-5127 Calendar Wheel, Superior Swiss Quality Replacement Part",28.99,USD,New without tags,1500,FIXED_PRICE,https://www.ebay.com/itm/186577318449?_skw=Rolex+3055+5127&hash=item2b70dff231:g:AlAAAOSwtoFmmtFt,https://i.ebayimg.com/images/g/AlAAAOSwtoFmmtFt/s-l225.jpg,watchpartsking1,10278,99.7,4.99,USD,US,Los Angeles,2024-07-19T20:51:13.000Z
batch_20260723_095422,iuid_7a7ae300906c4b86,rolex_3055_5127,Rolex 3055 5127,1,v1,EBAY_US,2026-07-30T19:44:12+00:00,v1|156170321425|0," Rolex Calendar Wheel, President 3055 Movement Part 5127, New Old Stock ",40.00,USD,New without tags,1500,FIXED_PRICE,https://www.ebay.com/itm/156170321425?_skw=Rolex+3055+5127&hash=item245c79fe11:g:5tIAAOSwE~pmHrvl,https://i.ebayimg.com/images/g/5tIAAOSwE~pmHrvl/s-l225.jpg,crown369,3167,100.0,,,US,San Diego,2024-04-16T17:59:11.000Z
batch_20260723_095422,iuid_7a7ae300906c4b86,rolex_3055_5127,Rolex 3055 5127,1,v1,EBAY_US,2026-07-30T19:44:12+00:00,v1|297356011200|0,Genuine Rolex Part 5127 Calibre 3055 Calendar Wheel Genuine Watch Part  Sealed,79.00,USD,New with tags,1000,FIXED_PRICE,https://www.ebay.com/itm/297356011200?_skw=Rolex+3055+5127&hash=item453bcca6c0:g:UewAAOSwlaBlPsI~,https://i.ebayimg.com/images/g/UewAAOSwlaBlPsI~/s-l225.jpg,vintagewatchparts24,2255,100.0,15.00,USD,AE,,2025-05-29T11:03:38.000Z
