collection_batch_id,inventory_uid,canonical_inventory_id,query_text,query_tier,query_template_version,marketplace_id,fetched_at,item_id,title,price_value,price_currency,condition,condition_id,buying_options,item_web_url,image_url,seller_username,seller_feedback_score,seller_feedback_percentage,shipping_cost_value,shipping_cost_currency,item_location_country,item_location_city,item_creation_date
batch_20260723_095422,iuid_963a9b12ddff43bc,rolex_5035_56000,Rolex 5035 56000,1,v1,EBAY_US,2026-07-30T19:49:03+00:00,v1|188257449515|0,Genuine Rolex Set of Screws Cal 5055 / 5035 Oysterquartz Part 56000 NOS SEALED,225.00,USD,New without tags,1500,FIXED_PRICE,https://www.ebay.com/itm/188257449515?_skw=Rolex+5035+56000&hash=item2bd504b62b:g:CmYAAeSw5D5p1p2y,https://i.ebayimg.com/images/g/CmYAAeSw5D5p1p2y/s-l225.jpg,oc_watch_collection,6378,99.7,6.95,USD,US,Westminster,2026-04-08T18:26:01.000Z
batch_20260723_095422,iuid_963a9b12ddff43bc,rolex_5035_56000,Rolex 5035 56000,1,v1,EBAY_US,2026-07-30T19:49:03+00:00,v1|377057694041|0,Genuine Rolex Set of Screws Cal 5055 / 5035 Oysterquartz Part 56000-1 NOS SEALED,263.00,USD,New with tags,1000,FIXED_PRICE,https://www.ebay.com/itm/377057694041?_skw=Rolex+5035+56000&hash=item57ca63d159:g:22cAAeSwCUlpwaVO,https://i.ebayimg.com/images/g/22cAAeSwCUlpwaVO/s-l225.jpg,grayjewelers,3618,100.0,10.00,USD,US,Miami Beach,2026-03-23T20:41:03.000Z
batch_20260723_095422,iuid_963a9b12ddff43bc,rolex_5035_56000,Rolex 5035 56000,1,v1,EBAY_US,2026-07-30T19:49:03+00:00,v1|377057687428|0,Genuine Rolex Set of Screws Cal 5035 Oysterquartz Datejust Part 56000 NOS SEALED,300.00,USD,New with tags,1000,FIXED_PRICE,https://www.ebay.com/itm/377057687428?_skw=Rolex+5035+56000&hash=item57ca63b784:g:zTYAAeSwZdFpwaOf,https://i.ebayimg.com/images/g/zTYAAeSwZdFpwaOf/s-l225.jpg,grayjewelers,3618,100.0,10.00,USD,US,Miami Beach,2026-03-23T20:33:47.000Z
batch_20260723_095422,iuid_963a9b12ddff43bc,rolex_5035_56000,Rolex 5035 56000,1,v1,EBAY_US,2026-07-30T19:49:03+00:00,v1|377042612226|0,Genuine Rolex Set of Screws Cal 5055 / 5035 Oysterquartz Part 56000-1 NOS SEALED,250.00,USD,New with tags,1000,FIXED_PRICE,https://www.ebay.com/itm/377042612226?_skw=Rolex+5035+56000&hash=item57c97db002:g:nTQAAeSwo~lpuZZX,https://i.ebayimg.com/images/g/nTQAAeSwo~lpuZZX/s-l225.jpg,grayjewelers,3618,100.0,15.00,USD,US,Miami Beach,2026-03-17T22:00:32.000Z
batch_20260723_095422,iuid_963a9b12ddff43bc,rolex_5035_56000,Rolex 5035 56000,1,v1,EBAY_US,2026-07-30T19:49:03+00:00,v1|127123964243|0,New Rolex Screws For 5035 Part 56000 FACTORY SEALED Package,260.00,USD,New without tags,1500,FIXED_PRICE,https://www.ebay.com/itm/127123964243?_skw=Rolex+5035+56000&hash=item1d992dc153:g:GGUAAeSwrARoLJym,https://i.ebayimg.com/images/g/GGUAAeSwrARoLJym/s-l225.jpg,winthropjake,301,100.0,8.00,USD,US,Winthrop,2025-05-20T15:18:16.000Z
batch_20260723_095422,iuid_963a9b12ddff43bc,rolex_5035_56000,Rolex 5035 56000,1,v1,EBAY_US,2026-07-30T19:49:03+00:00,v1|306301146799|0,ROLEX-SET OF SCREWS-FACTORY SEALED-CALIBER 5035 PART 56000,300.00,USD,New without tags,1500,FIXED_PRICE,https://www.ebay.com/itm/306301146799?_skw=Rolex+5035+56000&hash=item4750f896af:g:7hwAAOSwq~1oI5Dc,https://i.ebayimg.com/images/g/7hwAAOSwq~1oI5Dc/s-l225.jpg,brokenchrono,1814,99.7,0.00,USD,US,Miami,2025-05-13T18:35:10.000Z
batch_20260723_095422,iuid_963a9b12ddff43bc,rolex_5035_56000,Rolex 5035 56000,1,v1,EBAY_US,2026-07-30T19:49:03+00:00,v1|324668203011|0,Genuine Rolex 5035 56000 Full Set of Screws Part Brand New Unused,275.00,USD,New without box or papers,1500,FIXED_PRICE,https://www.ebay.com/itm/324668203011?_skw=Rolex+5035+56000&hash=item4b97bba003:g:op4AAOSw93RgwKo8,https://i.ebayimg.com/images/g/op4AAOSw93RgwKo8/s-l225.jpg,timemerchants,3089,100.0,15.00,USD,CA,,2021-06-09T11:47:27.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530 7937,1,v1,EBAY_DE,2026-07-30T19:49:04+00:00,v1|227329294006|0,Gegenbolzen Neu Blister NOS für Rolex (Code 1530 7937) Cap jewel for Escape X1,86.90,EUR,Nuovo con etichette,1000,FIXED_PRICE|BEST_OFFER,https://www.ebay.de/itm/227329294006?_skw=Rolex+1530+7937&hash=item34ede1beb6:g:-4sAAeSwfRBqawan,https://i.ebayimg.com/images/g/-4sAAeSwfRBqawan/s-l225.jpg,*rarecollections,1407,100.0,29.00,EUR,IT,,2026-05-04T10:28:53.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530 7937,1,v1,EBAY_DE,2026-07-30T19:49:04+00:00,v1|127343365498|0,Rolex 1530-7937 - Gegenbolzen oben unten (3 Stück),75.00,EUR,Nuovo senza scatola o documenti,1500,FIXED_PRICE,https://www.ebay.de/itm/127343365498?_skw=Rolex+1530+7937&hash=item1da6418d7a:g:xOgAAeSwNoNotGmB,https://i.ebayimg.com/images/g/xOgAAeSwNoNotGmB/s-l225.jpg,borr_8855,138,100.0,20.00,EUR,IT,Spilimbergo,2025-09-01T15:28:23.000Z
batch_20260723_095422,iuid_9672e4c078b142bd,rolex_1530_7937,Rolex 1530,4,v1,EBAY_DE,2026-07-30T19:49:07+00:00,v1|407101968806|0,Rolex Original CAL 1530 7876 Original Uhrenteil Eckiges Loch Gebraucht,159.76,EUR,Neu mit Etikett,1000,FIXED_PRICE,https://www.ebay.de/itm/407101968806?_skw=Rolex+1530&hash=item5ec92b11a6:g:En8AAeSwYaxqZ4AY,https://i.ebayimg.com/images/g/En8AAeSwYaxqZ4AY/s-l225.jpg,hyottoko_dance,293,100.0,0.00,EUR,JP,,2026-07-27T15:56:15.000Z
