item_number,title,price_eur,currency,condition,seller_type,sold_date_iso,sold_date_raw,is_sold,shipping_eur,free_shipping,best_offer,location,seller,url,source_page
145799561518,Rolex Oyster Katalog 1999 Broschüre Preiseliste  Schweiz,59.99,EUR,Gebraucht,Gewerblich,2026-07-13,13. Jul 2026,1,0.0,1,1,,"treffpunktnr.1 99,7% positiv (2.773)",https://www.ebay.de/itm/145799561518,ebay_sold_p1.html
205498921219,"Rolex 1530-7853....Screws for balance bridge,barrel bridge,train wheel bridge",45.0,EUR,Neu,Gewerblich,2026-07-13,13. Jul 2026,1,20.0,0,0,"Sofort-Kaufen +EUR 20,00 Lieferung  Spanien Ähnliche aktive Angebote ansehen Solch einen Artikel verkaufen",eisntimeparts 100% positiv (15),https://www.ebay.de/itm/205498921219,ebay_sold_p1.html
127918038171,"OMEGA 2531.80 41mm SEAMASTER PROFESSIONAL ZIFFERBLATT 30,5mm Superluminova",149.0,EUR,Gebraucht,Gewerblich,2026-07-13,13. Jul 2026,1,143.04,0,1,,almawatches 100% positiv (3.677),https://www.ebay.de/itm/127918038171,ebay_sold_p1.html
365966712887,Original Rolex Ringe Lünette - 15200 - 1500 - Air King - 15000 - Precision,60.0,EUR,Gebraucht,Privat,2026-07-03,3. Jul 2026,1,20.0,0,0,"Sofort-Kaufen +EUR 20,00 Lieferung  Italien Ähnliche aktive Angebote ansehen Solch einen Artikel verkaufen",passioneorologi22 100% positiv (33),https://www.ebay.de/itm/365966712887,ebay_sold_p1.html
318095696231,"Rolex Edelstahl Bandglied Glied für GMT-Master II Ref. 116710LN 15,51 mm link",109.0,EUR,Gebraucht,Gewerblich,2026-07-10,10. Jul 2026,1,0.0,1,1,,eBay Top-Service,https://www.ebay.de/itm/318095696231,ebay_sold_p1.html
366525923296,Large Official Rolex Green 100% Cotton Cleaning Cloth – Authentic,65.0,EUR,Neu (Sonstige),Privat,2026-07-13,13. Jul 2026,1,1.0,0,0,"1 Gebot +EUR 12,00 Lieferung  Spanien Ähnliche aktive Angebote ansehen Solch einen Artikel verkaufen",karkund0 100% positiv (15),https://www.ebay.de/itm/366525923296,ebay_sold_p1.html
178032032501,Rolex Datejust Handbuch Anleitung booklet Deutsch 553.53 De - 1.2020,49.0,EUR,Neu (Sonstige),Privat,2026-07-13,13. Jul 2026,1,1.1,0,0,,frankenhain16 100% positiv (685),https://www.ebay.de/itm/178032032501,ebay_sold_p1.html
397720351026,Gehäuseöffner Für Rolex Uhren Uhrmacherwerkzeug Sets Für Gerillte Gehäuseböden,13.9,EUR,Neu,Gewerblich,2026-07-13,13. Jul 2026,1,0.0,1,0,,"caicaifa 99,6% positiv (12.194)",https://www.ebay.de/itm/397720351026,ebay_sold_p1.html
227425789901,Rolex 1040 6982 gebraucht Disengaging Wheel,328.9,EUR,Gebraucht,Gewerblich,2026-07-13,13. Jul 2026,1,29.0,0,1,"oder Preisvorschlag +EUR 29,00 Lieferung  Italien Ähnliche aktive Angebote ansehen Solch einen Artikel verkaufen",*rarecollections 100% positiv (1.384),https://www.ebay.de/itm/227425789901,ebay_sold_p1.html
227429167693,Guter Zustand Rolex 1040 6987 gebraucht Ankerfederstein für Second,108.9,EUR,Gebraucht,Gewerblich,2026-07-13,13. Jul 2026,1,29.0,0,1,"oder Preisvorschlag +EUR 29,00 Lieferung  Italien Ähnliche aktive Angebote ansehen Solch einen Artikel verkaufen",*rarecollections 100% positiv (1.384),https://www.ebay.de/itm/227429167693,ebay_sold_p1.html
267717689056,lünette lünette rolex datejust 36mm,180.0,EUR,Neu (Sonstige),Privat,2026-07-13,13. Jul 2026,1,15.0,0,1,"oder Preisvorschlag +EUR 15,00 Lieferung  Italien Ähnliche aktive Angebote ansehen Solch einen Artikel verkaufen",giacoromel 100% positiv (76),https://www.ebay.de/itm/267717689056,ebay_sold_p1.html
168086536837,5537 Uhrenwerkzeug Uhrenöffner Gehäuseöffner Reparatur Set für Rolex und Tudor,17.36,EUR,Neu,Gewerblich,2026-07-13,13. Jul 2026,1,0.0,1,0,,"szhk_chen 99,8% positiv (10.185)",https://www.ebay.de/itm/168086536837,ebay_sold_p1.html
305208587362,Leuchtpunkt Leuchtperle Perle Lume Dot für Rolex Submariner Sea Dweller u.a.,16.5,EUR,Neu (Sonstige),Gewerblich,2026-07-13,13. Jul 2026,1,1.0,0,0,,"electroflash 99,4% positiv (13.304)",https://www.ebay.de/itm/305208587362,ebay_sold_p1.html
406751848533,Gehäuseöffner Für Rolex Uhren Uhrmacherwerkzeug Sets Für Gerillte Gehäuseböden,13.79,EUR,Neu,Gewerblich,2026-07-13,13. Jul 2026,1,0.0,1,0,,"amireux 99,5% positiv (10.139)",https://www.ebay.de/itm/406751848533,ebay_sold_p1.html
172716328354,Schraubkrone kompatibel zu Rolex Kronen 5.3 - 7.0 mm für Rolex Uhren,17.95,EUR,Neu,Gewerblich,2026-07-13,13. Jul 2026,1,0.0,1,0,,watchparts24 100% positiv (71.339),https://www.ebay.de/itm/172716328354,ebay_sold_p1.html
404647696351,#1033 ORIGINAL ROLEX DATEJUST 36mm CAL 3035 3135 REF 16234 16014 ZIFFERBLATT,195.49,EUR,Gebraucht,Gewerblich,2026-07-13,13. Jul 2026,1,187.67,0,0,,state_of_time 100% positiv (3.802),https://www.ebay.de/itm/404647696351,ebay_sold_p1.html
185062738922,"Zeigerspiel ""Datejust"" style kompatibel zu Rolex Kal. 3035/3135",21.95,EUR,Neu,Gewerblich,2026-07-13,13. Jul 2026,1,0.0,1,0,,watchparts24 100% positiv (71.339),https://www.ebay.de/itm/185062738922,ebay_sold_p1.html
