sample_id,title,classifier_prediction,chatgpt_label,claude_label,final_human_label,review_notes,reviewer,review_date
g2v1-001,"2 alte Rolex Uhrwerke   , 2 alte Uhrwerke für Armbanduhren  , ROLEX",COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-003,Rolex Vintage 1930 Men's Wrist Watch Movement  Cal 6406 Balance Spring Ok,COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-004,SELTENE OMEGA CONSTELLATION 114ST6545 EDELSTAHL LINK 14MM,WRONG_BRAND,WRONG_BRAND,ACCESSORY,WRONG_BRAND,,Vaishnavi Iyer,2026-07-30
g2v1-009,ROLEX Original Movement Cal.1600 Wrist Watch Parts Gold Dial Color Working #1,COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-010,"SCHWINGENACHSE FÜR ROLEX UHR 83/4 1120, 1130, 1135 KIF - HÖHE 264",UNKNOWN,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-011,Armbanduhrwerk Rolex Cal. 1210,COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-012,Rolex Datejust 79174 Garantie Garantie Garantie,UNKNOWN,ACCESSORY,UNKNOWN,COMPLETE_WATCH,,Vaishnavi Iyer,2026-07-30
g2v1-013,Genuine Rolex Clasp & Blade Pin 32-20734,UNKNOWN,ACCESSORY,ACCESSORY,ACCESSORY,,Vaishnavi Iyer,2026-07-30
g2v1-015,Original Rolex Oysterdate Speedking Precision ref. 6430 wristwatch dial,COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-018,Rolex Damen 24mm Oyster Perpetual 67180 Armbanduhren Schwarz Zifferblatt,COMPLETE_WATCH,COMPLETE_WATCH,WATCH_PART,COMPLETE_WATCH,,Vaishnavi Iyer,2026-07-30
g2v1-021,ORIGINAL ROLEX 1675 GMT Master GEHÄUSEDECKEL CASEBACK DECKEL VINTAGE I. 62 1962,UNKNOWN,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-022,KUGELLAGER JAGDKUGELLAGER NO CLIP VALJOUX ETA 7750 OMEGA 1155,WRONG_BRAND,WRONG_BRAND,WATCH_PART,WRONG_BRAND,,Vaishnavi Iyer,2026-07-30
g2v1-030,ROLEX CELLINI 32 REF. 5112 WHITE ROMAN DIAL 18K GOLD 1995,WATCH_PART,WATCH_PART,COMPLETE_WATCH,COMPLETE_WATCH,,Vaishnavi Iyer,2026-07-30
g2v1-036,Rolex Vintage 1930 Men's Wrist Watch Movement  Cal 5817 Balance Spring Ok,COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-038,ROLEX Original Movement Cal.1600 Wrist Watch Parts Silver Dial Color For Part...,COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-039,"Uhrenglas Cyclop 25,6 mm für Rolex 25-104 105 6466 6624 6625 6627 6628 6629 6630",UNKNOWN,WATCH_PART,WATCH_PART,UNKNOWN,,Vaishnavi Iyer,2026-07-30
g2v1-044,NEW Rolex 3155-670 Kalenderrad Neu im Blister,UNKNOWN,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-047,Armbanduhrwerk Rolex Cal.700,COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-052,ROLEX PROTECTOR BEZEL 1 DAYTONA 16520 16523 16528 16518 16519 RINGABDECKUNG,WATCH_PART,ACCESSORY,ACCESSORY,ACCESSORY,,Vaishnavi Iyer,2026-07-30
g2v1-053,Original Ford 1971 “Shop Tips” 3 Issues Mar.-May & June,UNKNOWN,WRONG_BRAND,WRONG_BRAND,WRONG_BRAND,,Vaishnavi Iyer,2026-07-30
g2v1-054,Modubrix Mocs Bricks Set Medieval Tudor House Model 2554 Parts Building Toys Kit,WATCH_PART,WRONG_BRAND,WRONG_BRAND,WRONG_BRAND,,Vaishnavi Iyer,2026-07-30
g2v1-055,Zugfeder passend für 2030 or 2035 Rolex Kaliber Armbanduhr Mainspring 2035-4419,COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-058,ROLEX NOS Plexiglas ORIGINAL Plexi 25-27 Tudor 7969 Tropic,UNKNOWN,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-062,ROLEX 3130 Cod. 236 Cover Mechanism Calib: 3130 (EXCELLENT STATE),UNKNOWN,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-063,Rolex Cellini 4112 18K Gold 32mm White Roman Dial 14K Gold Bracelet,ACCESSORY,COMPLETE_WATCH,COMPLETE_WATCH,ACCESSORY,,Vaishnavi Iyer,2026-07-30
g2v1-066,Rolex Daytona 16528 Zenith Uhrwerk 1992 Top Zustand Full Set Box &Papier,ACCESSORY,COMPLETE_WATCH,COMPLETE_WATCH,COMPLETE_WATCH,,Vaishnavi Iyer,2026-07-30
g2v1-067,ROLEX 3135 670 Datenrad Zwischenrad GENERIC Zwischenrad Datumsrad SWISS,UNKNOWN,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-068,Saphir-Uhrenglas für Rolex Datejust Midsize 68273 25 mm Neu,UNKNOWN,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-070,Rolex GMT 1675 blank warranty,UNKNOWN,ACCESSORY,ACCESSORY,ACCESSORY,,Vaishnavi Iyer,2026-07-30
g2v1-071,Vetro Sternkreuz Cyclope 104 e 105 Plexi Rolex Datejust Boy rlx Kunststoff Kristall,UNKNOWN,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-073,Rolex Uhrwerk für Armbanduhr Handaufzug Kal. 1600 - 21 mm ca. 1965,COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-079,Rolex Datejust 36 White Dial Stahl / Gold Automatik Herrenuhr Ref 116234 G-Serie,WATCH_PART,COMPLETE_WATCH,COMPLETE_WATCH,COMPLETE_WATCH,,Vaishnavi Iyer,2026-07-30
g2v1-080,12mm 14mm 16mm 18mm 20mm 22mm Edelstahl Uhrenarmband für Seiko für Rolex für Hua,UNKNOWN,ACCESSORY,ACCESSORY,ACCESSORY,,Vaishnavi Iyer,2026-07-30
g2v1-082,Zugfeder passend für 2130- 311 Rolex Kaliber Armbanduhr Mainspring 771,COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-085,Aufzugswelle passend für Diverse Rolex Kaliber Armbanduhr Welle Winding Stem,COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-086,RING CLIP FÜR KUGELLAGER (BALL BEARING) VALJOUX ETA 7750 OMEGA 1155,WRONG_BRAND,WRONG_BRAND,WATCH_PART,WRONG_BRAND,,Vaishnavi Iyer,2026-07-30
g2v1-087,VINTAGE GENUINE SETTING LEVER DETENT FOR ROLEX 2135 - 220 WRIST WATCH MOVEMENT,COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-088,Rolex Automatic Uhrwerk für Armbanduhr ETA 2671 - 20 mm Schweiz ca. 1960,COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-090,Saphirglas für 25-286C Rolex Sapphire Glass 15200 15210 15233 15238,UNKNOWN,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-091,"ROLEX 1530 RÜCKLAUFRÄDER X 2, VINTAGE MESSING MODELL #7912*",UNKNOWN,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
g2v1-092,The Rolex Magazine - Ausgabe 12,UNKNOWN,MANUAL_DOCUMENTATION,MANUAL_DOCUMENTATION,MANUAL_DOCUMENTATION,,Vaishnavi Iyer,2026-07-30
g2v1-093,"ORIGINAL ROLEX CELLINI ARMBANDUHR ZIFFERBLATT 20,00 MM FÜR KALIBER 1600 - 1601 (RD02)",COMPLETE_WATCH,WATCH_PART,WATCH_PART,WATCH_PART,,Vaishnavi Iyer,2026-07-30
